"path","id","title","summary","owner","tag_groups","tags","llm_include","llm_pii","entities"
"ACTIVITY_LOG.md","activity-log","Activity Log – CSV friendly (delimiter: ¦)","Breve descrizione del documento.","team-docs","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"agent-manifest-and-indexing-best-practices.md","agent-manifest-indexing-best-practices","Agent Manifest & Indexing - Best Practices universali","Guida per agenti su come usare manifest JSONL/CSV e ancore per cercare e aprire documenti in modo minimale e token‑friendly, indipendentemente dal progetto o dal formato.","team-docs","language;layer","best-practices;ai-readiness;layer/reference;universal;language/it","","",""
"best-practices-token-tuning-roadmap.md","best-practices-token-tuning-roadmap","Best Practices & Roadmap – Token Tuning e AI-Readiness Universale","Linee guida e piano evolutivo per ottimizzare qualsiasi knowledge base/documentazione tecnica in ottica di efficienza token, chunking, AI-readiness e governance, indipendentemente dal formato o dal progetto.","team-docs","privacy;language","best-practices;roadmap;token-tuning;ai-readiness;quality;documentation;universal;governance;privacy/internal;language/it","","",""
"docs-conventions.md","docs-conventions","EasyWayData Portal – Regole Semplici (La Nostra Bibbia)","Breve descrizione del documento.","team-docs","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01a-db-setup.md","ew-01a-db-setup","01a db setup","","","privacy;language",";privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/portal.md","ew-portal","portal","","","privacy;language",";privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability.md","ew-programmability","programmability","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/function.md","ew-function","function","","","artifact;privacy;language","artifact/function;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/index.md","index","Indice","Breve descrizione del documento.","team-data","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/sequence.md","ew-sequence","sequence","","","artifact;privacy;language","artifact/sequence;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure.md","ew-stored-procedure","stored procedure","","","artifact;privacy;language","artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/configuration.md","ew-configuration","configuration","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/index.md","index","Indice","Breve descrizione del documento.","team-data","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/profile-domains.md","ew-profile-domains","profile domains","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/section-access.md","ew-section-access","section access","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/stats-execution-log.md","ew-stats-execution-log","stats execution log","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/subscription.md","ew-subscription","subscription","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/tenant.md","ew-tenant","tenant","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/user-notification-settings.md","ew-user-notification-settings","user notification settings","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b_schema_structure/PORTAL/programmability/stored-procedure/users.md","ew-users","users","","","artifact;privacy;language;layer","layer/reference;artifact/stored-procedure;privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/01b-schema-structure.md","ew-01b-schema-structure","01b schema structure","","","privacy;language",";privacy/internal;language/it","","",""
"EasyWay_WebApp/01_database_architecture/index.md","ew-index","index","","","privacy;language",";privacy/internal;language/it","","",""
"EasyWay_WebApp/01-database-architecture.md","ew-01-database-architecture","01 database architecture","","","","","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione.md","ew-api-esterne-integrazione","api esterne integrazione","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione/api-invio-notifica.md","ew-api-invio-notifica","api invio notifica","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione/api-notifiche.md","ew-api-notifiche","api notifiche","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione/api-onboarding.md","ew-api-onboarding","api onboarding","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione/checklist-di-test-api.md","ew-checklist-di-test-api","checklist di test api","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione/convenzioni-rest-e-naming.md","ew-convenzioni-rest-e-naming","convenzioni rest e naming","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/api-esterne-integrazione/esempio-integrazione-shopify.md","ew-esempio-integrazione-shopify","esempio integrazione shopify","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/best-practice-naming-and-scalability.md","ew-best-practice-naming-and-scalability","best practice naming and scalability","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/index.md","index","Indice","","","","","","",""
"EasyWay_WebApp/02_logiche_easyway/logging-and-audit.md","ew-logging-and-audit","logging and audit","","","privacy;policy;language","policy/logging;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/logging-and-audit/readme.md","ew-readme","readme","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/login-flussi-onboarding.md","ew-login-flussi-onboarding","login flussi onboarding","","","privacy;language;layer","layer/how-to;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/login-flussi-onboarding/esempi-flussi-avanzati-onboarding-login.md","ew-esempi-flussi-avanzati-onboarding-login","esempi flussi avanzati onboarding login","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/login-flussi-onboarding/esempi-flussi-verticali-pa-accesso-tramite-spid-e-cie.md","ew-esempi-flussi-verticali-pa-accesso-tramite-spid-e-cie","esempi flussi verticali pa accesso tramite spid e cie","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/login-flussi-onboarding/readme.md","ew-readme","readme","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/notifiche-gestione.md","ew-notifiche-gestione","notifiche gestione","","","privacy;language;layer","layer/how-to;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/notifiche-gestione/esempi-notifiche-and-template-email-configurabili.md","ew-esempi-notifiche-and-template-email-configurabili","esempi notifiche and template email configurabili","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/policy-di-configurazione-and-sicurezza-microservizi-e-api-gateway.md","ew-policy-di-configurazione-and-sicurezza-microservizi-e-api-gateway","policy di configurazione and sicurezza microservizi e api gateway","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
"EasyWay_WebApp/02_logiche_easyway/raccomandazione-architetturale-easyway-data-portal.md","ew-raccomandazione-architetturale-easyway-data-portal","raccomandazione architetturale easyway data portal","","","privacy;language;layer","layer/reference;privacy/internal;language/it","","",""
